name,lastrunstart,nextscheduleddate,currstatus,runtime,prevrunstarttime,schedruntime,recurrencepattern,status,message,lastrunend
Salesforce Invoice Stage & Export - 250,10/5/2017 4:15:00 PM,10/5/2017 5:15:00 PM,Waiting,2249,16:15:00.5070000,17:15:00,RecurrencePattern=Minutes||NumberOfMinutes=30||MinTime=04:15:00 am||MaxTime=10:35:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 4:52:29 PM
Salesforce Invoice Stage & Export - 40,10/5/2017 3:45:01 AM,10/6/2017 12:15:00 AM,Waiting,14,03:45:01.1700000,00:15:00,RecurrencePattern=Minutes||NumberOfMinutes=5||MinTime=12:15:00 am||MaxTime=03:45:00 am||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 3:45:15 AM
SAP AP Export,10/5/2017 3:06:51 PM,1/1/2017 12:00:00 AM,Waiting,5,15:06:51.2700000,00:00:00,,W,,10/5/2017 3:06:56 PM
SAP AR Export,10/5/2017 3:07:04 PM,1/1/2017 12:00:00 AM,Waiting,2,15:07:04.2830000,00:00:00,,W,,10/5/2017 3:07:06 PM
SAP GL Stage & Export,10/30/2017 10:07:15 AM,10/25/2048 8:00:00 AM,Waiting,24,10:07:15.9730000,08:00:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=10/25/2048||StartTime=08:00:00 am,W,,10/30/2017 10:07:39 AM
Snapshot Intraday,10/5/2017 1:53:32 PM,10/5/2017 2:00:00 PM,Waiting,387,13:53:32.7870000,14:00:00,RecurrencePattern=Minutes||NumberOfMinutes=60||MinTime=07:00:00 am||MaxTime=03:00:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 1:59:59 PM
Snapshot Month End,10/5/2017 6:47:05 PM,5/31/2016 8:00:00 AM,Waiting,12214,18:47:05.7800000,08:00:00,RecurrencePattern=Months||DayOfMonth=31||NumberOfMonthsToStep=1||StartDate=05/31/2016||StartTime=08:00:00 am,W,,10/5/2017 10:10:39 PM
Snapshot Nightly,10/4/2017 4:22:21 PM,12/1/2017 4:20:00 PM,Waiting,2160,16:22:21.5630000,16:20:00,(None),W,,10/4/2017 4:58:21 PM
Snapshot Nightly Final,10/5/2017 4:54:50 PM,10/6/2017 2:00:00 AM,Waiting,4426,16:54:50.7300000,02:00:00,RecurrencePattern=Days||NumberOfDays=1||StartDate=02/01/2001||StartTime=02:00:00 am,W,,10/5/2017 6:08:36 PM
T4 Nomination Load,10/5/2017 10:30:03 PM,10/6/2017 6:10:00 AM,Waiting,19,22:30:03.0070000,06:10:00,RecurrencePattern=Minutes||NumberOfMinutes=10||MinTime=06:10:00 am||MaxTime=10:30:00 pm||StartDate=04/04/2017||StartTime=12:00:00 am,W,,10/5/2017 10:30:22 PM
T4 Nomination Staging Back Up Task,,1/1/2017 12:00:00 AM,Waiting,,,00:00:00,,W,,
TMS Host Actuals,10/5/2017 3:50:02 PM,10/5/2017 5:00:00 PM,Waiting,3731,15:50:02.1130000,17:00:00,RecurrencePattern=Minutes||NumberOfMinutes=10||StartDate=01/10/2017||StartTime=02:00:00 am,W,,10/5/2017 4:52:13 PM
TMS Host Contracts,10/5/2017 10:40:00 PM,10/5/2017 10:50:00 PM,Waiting,1,22:40:00.9270000,22:50:00,RecurrencePattern=Minutes||NumberOfMinutes=10||StartDate=01/01/2017||StartTime=12:02:00 am,W,,10/5/2017 10:40:01 PM
TMS Host Nominations,10/5/2017 10:35:00 PM,10/5/2017 10:45:00 PM,Waiting,1,22:35:00.4300000,22:45:00,RecurrencePattern=Minutes||NumberOfMinutes=10||StartDate=01/10/2017||StartTime=02:00:00 am,W,,10/5/2017 10:35:01 PM
TMS Host Tank Gauge Close,10/5/2017 5:00:05 PM,10/6/2017 5:00:00 AM,Waiting,41,17:00:05.1570000,05:00:00,RecurrencePattern=Minutes||NumberOfMinutes=20||MinTime=05:00:00 am||MaxTime=05:00:00 pm||StartDate=01/10/2017||StartTime=02:00:00 am,W,,10/5/2017 5:00:46 PM
TMS Host Tank Gauge Freeze,10/5/2017 5:00:05 PM,10/6/2017 5:00:00 AM,Waiting,2,17:00:05.7370000,05:00:00,RecurrencePattern=Minutes||NumberOfMinutes=20||MinTime=05:00:00 am||MaxTime=05:00:00 pm||StartDate=02/01/2001||StartTime=12:00:00 am,W,,10/5/2017 5:00:07 PM
Transactions Not Applied,6/22/2017 11:47:22 AM,5/15/2017 12:00:00 AM,Waiting,0,11:47:22.0530000,00:00:00,,W,,6/22/2017 11:47:22 AM
Update Monthly Totals,10/5/2017 10:00:02 PM,10/6/2017 4:00:00 AM,Waiting,0,22:00:02.6130000,04:00:00,RecurrencePattern=Minutes||NumberOfMinutes=5||MinTime=04:00:00 am||MaxTime=10:00:00 pm||StartDate=05/01/2001||StartTime=12:01:30 am,W,,10/5/2017 10:00:02 PM
Value Transactions By Period (1),10/1/2017 7:00:00 AM,10/7/2017 8:30:00 AM,Waiting,26484,07:00:00.5000000,08:30:00,RecurrencePattern=Weeks||NumberOfWeeks=1||DaysOfTheWeek=7||StartDate=02/01/2001||StartTime=08:30:00 am,W,,10/1/2017 2:21:24 PM
